Namespace(activation='maxmin', batch_size=500, block_size=2, conv_layer='soc', data_dir='./cifar-data', dataset='cifar10', epochs=400, eval_num=100, init_channels=32, lln=False, loss='l1', loss_scale='1.0', lr_drop=200, lr_max=0.2, lr_min=0.0001, momentum=0.9, n=15000, opt_level='O2', out_dir='ISO_cifar10_l1_2_soc_32_maxmin', seed=0, weight_decay=0.0005, workers=4)
Epoch 	 Seconds 	 LR 	 Train Loss
356 	 10.0 	 0.2000 	 -4.5421
357 	 9.5 	 0.2000 	 -4.4785
358 	 9.5 	 0.2000 	 -4.5282
359 	 9.5 	 0.2000 	 -4.4951
360 	 10.0 	 0.2000 	 -4.5382
361 	 9.5 	 0.2000 	 -4.5691
362 	 9.5 	 0.2000 	 -4.5729
363 	 10.0 	 0.2000 	 -4.3885
364 	 9.5 	 0.2000 	 -4.4219
365 	 9.5 	 0.2000 	 -4.5125
366 	 9.9 	 0.2000 	 -4.5377
367 	 9.5 	 0.2000 	 -4.5905
368 	 9.4 	 0.2000 	 -4.3937
369 	 9.5 	 0.2000 	 -4.5678
370 	 10.0 	 0.2000 	 -4.4736
371 	 9.5 	 0.2000 	 -4.5396
372 	 9.5 	 0.2000 	 -4.4242
373 	 10.0 	 0.2000 	 -4.4960
374 	 9.5 	 0.2000 	 -4.4972
375 	 9.5 	 0.2000 	 -4.5423
376 	 10.0 	 0.2000 	 -4.5135
377 	 9.4 	 0.2000 	 -4.5524
378 	 9.5 	 0.2000 	 -4.6017
379 	 9.5 	 0.2000 	 -4.5425
380 	 10.0 	 0.2000 	 -4.6067
381 	 9.5 	 0.2000 	 -4.6226
382 	 9.5 	 0.2000 	 -4.5228
383 	 9.9 	 0.2000 	 -4.5285
384 	 9.5 	 0.2000 	 -4.5174
385 	 9.5 	 0.2000 	 -4.5005
386 	 9.9 	 0.2000 	 -4.5735
387 	 9.5 	 0.2000 	 -4.5744
388 	 9.5 	 0.2000 	 -4.4208
389 	 9.5 	 0.2000 	 -4.5798
390 	 9.9 	 0.2000 	 -4.5832
391 	 9.5 	 0.2000 	 -4.6497
392 	 9.5 	 0.2000 	 -4.5016
393 	 10.0 	 0.2000 	 -4.5616
394 	 9.5 	 0.2000 	 -4.5451
395 	 9.5 	 0.2000 	 -4.5782
396 	 9.9 	 0.2000 	 -4.6037
397 	 9.5 	 0.2000 	 -4.4776
398 	 9.5 	 0.2000 	 -4.5993
399 	 9.5 	 0.2000 	 -4.7032
Total train time: 71.0151 minutes
